"","treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
"59",200,250,"100199","100199","SCHMOR","921",163.64,405.37,617051,6,228,"1.15",1.17,2016-08-04,"alive","MAIN;A",1,"A",20670
"60",203,253,"100200","100200","SCHMOR","921",163.88,405.06,617052,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"61",204,254,"100202","100202","SCHMOR","921",163.41,404.19,617032,6,224,"1.25",1.25,2016-08-04,"alive","MAIN;A",1,"A",20670
"62",206,257,"100205","100205","SCHMOR","921",160.64,404.27,617033,6,107,"1.35",1.35,2016-08-04,"alive","MAIN;A",1,"A",20670
"63",207,NA,"100206",NA,"PSYBRA","921",161.38,403.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"64",208,260,"100208","100208","CECSCH","921",160.12,401.72,617034,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"65",224,277,"100223","100223","PREMON","921",163.19,400.42,617035,6,183,"1.25",1.26,2016-08-04,"alive","MAIN;A",1,"A",20670
"66",230,283,"100229","100229","SCHMOR","821",159.08,404.64,614297,6,117,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"67",231,NA,"100230",NA,"PSYBRA","821",159.46,404.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"68",234,287,"100233","100233","SCHMOR","821",157.46,404,614298,6,133,"1.25",1.25,2016-08-04,"alive","MAIN;A",1,"A",20670
"69",236,NA,"100236",NA,"CECSCH","821",156.17,404.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"70",237,290,"100237","100237","CECSCH","821",155.68,403.82,614300,6,144,"1.3",1.3,2016-08-04,"alive","MAIN;A",2,"A",20670
"71",242,296,"100243","100243","INGLAU","821",158.71,400.64,614302,6,161,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"72",246,NA,"100247",NA,"PSYBRA","821",159.29,402.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"73",247,114078,"100248","157278","MICPRA","821",159.21,403.69,614307,6,12.8,"1.3",1.3,2016-08-04,"alive","SPROUT;A",2,"A",20670
"74",252,NA,"100252",NA,"SCHMOR","821",157.93,401.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"75",253,307,"100253","100253","SCHMOR","821",157.38,400.94,614304,6,148,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"76",254,NA,"100254",NA,"CECSCH","821",156.34,400.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"77",255,114080,"100255","157281","CORBOR","821",156.76,400.73,614308,6,23.9,"1.3",1.3,2016-08-04,"alive","SPROUT;A",2,"A",20670
"78",256,310,"100256","100256","CECSCH","821",155.54,400.24,614306,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"79",258,NA,"100258",NA,"CECSCH","821",155.09,402.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"80",259,313,"100259","100259","SCHMOR","821",155.37,405.52,614320,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",1,"D",20670
"81",262,316,"100261","100261","OCOSIN","821",156.99,405.71,614321,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"82",263,317,"100262","100262","SCHMOR","821",158.6,405.42,614322,6,169,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"83",266,NA,"100265",NA,"PSYBER","821",159.32,405.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"84",268,323,"100268","100268","CECSCH","821",159.96,405.64,614323,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",1,"D",20670
"85",269,NA,"100269",NA,"PSYBER","821",159.8,406.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"86",271,NA,"100270",NA,"CECSCH","821",159.85,407.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"87",275,NA,"100274",NA,"PSYBER","821",157.16,406.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"88",276,331,"100275","100275","OCOLEU","821",157.82,406.29,614324,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"89",281,NA,"100284",NA,"PSYBER","821",159.38,409.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"90",282,341,"100287","100287","CASARB","821",158.58,410.07,614329,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",2,"D",20670
"91",287,NA,"100293",NA,"PSYBRA","821",155.65,408.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"92",292,NA,"100301",NA,"ALCLAT","821",155.87,408.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"93",304,NA,"100317",NA,"CORBOR","821",155.43,409.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"94",309,NA,"100322",NA,"PSYBRA","821",156.79,410.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"95",310,NA,"100329",NA,"PSYBRA","821",156.61,411.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"96",328,407,"100346","100346","SCHMOR","821",159.86,410.7,614330,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",1,"D",20670
"97",329,408,"100347","100347","SCHMOR","821",159.82,411.06,614331,6,152,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"98",331,410,"100349","100349","SCHMOR","821",159.46,412.19,614332,6,64,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"99",333,NA,"100350",NA,"MICPRA","821",159.16,412.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"100",336,NA,"100355",NA,"SCHMOR","821",158.21,413.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"101",339,114105,"100358","157324","CASARB","821",159.74,413.76,614346,6,45.8,"1.3",1.3,2016-08-04,"alive","SPROUT;A",3,"A",20670
"102",340,NA,"100359",NA,"PSYBRA","821",158.78,413.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"103",344,426,"100364","100364","CASARB","821",159.24,414.14,614335,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"104",346,428,"100366","100366","CASARB","821",158.83,414.54,614336,6,84,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"105",347,NA,"100368",NA,"MICPRA","821",158.41,414.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"106",350,438,"100375","100375","OCOLEU","821",157.51,414.72,614337,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"107",353,441,"100379","100379","OCOLEU","821",155.44,414.41,614338,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"108",358,NA,"100384",NA,"PSYBRA","821",155.7,411.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"109",359,NA,"100386",NA,"PSYBRA","821",155.54,411.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"110",360,NA,"100389",NA,"PSYBRA","821",155.46,410.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"111",371,NA,"100399",NA,"PSYBER","821",157.2,416.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"112",374,NA,"100403",NA,"PSYBRA","821",158.92,418.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"113",375,NA,"100409",NA,"PSYBRA","821",155.16,415.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"114",379,481,"100413","100413","OCOLEU","821",155.39,415.86,614349,6,51,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"115",380,483,"100415","100415","GUAGUI","821",155.71,417.36,614350,6,79,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"116",381,NA,"100416",NA,"GUAGUI","821",155.26,417.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"117",382,485,"100417","100417","TRIPAL","821",155.55,417.91,614351,6,54,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"118",385,489,"100420","100420","CASARB","821",158.92,417.04,614352,6,167,"1.2",1.2,2016-08-04,"alive","MAIN;A",1,"A",20670
